Date,Vandalismo,Nivedu02T,Nivedu38T,NiveduT34,Nivedu58T,Nivedu02A,Nivedu38A,Nivedu34A,Nivedu58A,Nivedu02B,Nivedu38B,Nivedu34B,Nivedu58B,Templeo,Tparo,PartAct,FalDis,MetoParti,EduTecCen,HabitoLec,CompreLec,HabitoComLec,EduTec,ExpPro,GLOBAL1,GLOBAL2,CCAA,CCAAN
1,14.90,49.20,50.80,23.30,27.50,49.00,51.00,20.70,30.30,37.00,63.00,49.30,13.70,43.80,23.00,43.56,33.32,45.04,49.83,50.11,34.86,48.07,47.79,30.25,48.39,48.02,01,Andalucía
2,9.90,36.80,63.20,28.00,35.10,35.50,64.50,26.20,38.40,31.30,68.70,50.90,17.80,52.40,10.60,46.77,32.65,45.42,47.65,50.76,35.66,44.41,50.04,32.16,53.10,53.40,02,Aragón
3,5.10,34.30,65.70,25.90,39.80,33.20,66.80,23.70,43.10,26.70,73.30,56.70,16.70,43.90,13.60,43.83,33.00,46.47,46.82,46.33,39.14,44.70,48.59,30.81,53.20,53.35,03,Asturias
4,9.40,43.60,56.40,29.20,27.20,42.40,57.60,27.90,29.70,40.80,59.20,46.40,12.80,57.00,11.50,50.03,30.51,43.10,48.28,49.10,33.29,44.53,51.56,37.16,50.80,50.95,04,Baleares
5,9.70,45.10,54.90,26.60,28.20,44.60,55.40,24.90,30.50,35.10,64.90,47.50,17.40,48.30,20.10,39.60,31.95,47.93,46.79,48.06,35.48,48.22,47.71,30.61,48.47,48.42,05,Canarias
6,4.30,32.30,67.70,29.90,37.80,31.30,68.70,28.10,40.60,23.20,76.80,55.90,21.00,49.00,10.70,45.87,33.23,46.25,44.90,49.61,36.31,45.20,48.72,30.77,53.21,53.65,06,Cantabría
7,6.20,40.30,59.70,26.30,33.50,39.70,60.30,24.10,36.20,29.70,70.30,52.60,17.70,47.90,12.10,43.18,32.15,46.22,45.25,47.56,35.28,46.38,48.48,29.58,53.85,54.19,07,Castilla y León
8,6.80,49.90,50.10,24.10,26.00,50.00,50.00,21.50,28.40,35.80,64.20,49.30,15.00,48.10,18.20,44.61,33.67,44.67,47.21,49.73,33.98,46.12,50.54,31.46,51.18,50.76,08,Castilla y La Mancha
9,11.10,38.60,61.40,24.00,37.40,37.60,62.40,21.60,40.80,29.70,70.30,49.40,20.90,54.20,11.50,52.67,34.16,41.67,48.02,49.95,35.22,42.41,52.78,38.46,51.34,51.48,09,Cataluña
10,2.50,53.80,46.20,21.60,24.50,55.00,45.00,18.50,26.50,36.60,63.40,48.00,15.50,42.20,23.60,40.43,30.19,46.44,47.62,51.89,33.27,48.86,47.96,29.28,49.32,48.62,10,Extremadura
11,7.60,41.70,58.30,24.20,34.10,41.10,58.90,22.00,36.90,31.10,68.90,52.20,16.70,46.20,13.30,50.37,30.81,40.89,49.76,44.21,36.33,45.28,47.74,32.40,54.98,53.93,11,Galicia
12,6.80,39.10,60.90,26.10,34.80,38.20,61.80,23.00,38.70,31.30,68.70,57.30,11.40,53.00,10.40,44.19,33.06,46.68,48.48,49.51,33.30,45.21,50.16,36.25,50.06,49.70,12,La Rioja
13,17.60,30.00,70.00,27.30,42.70,27.70,72.30,25.10,47.20,30.70,69.30,51.30,17.90,55.20,12.20,46.83,32.18,45.55,48.69,47.33,37.46,45.92,48.30,28.64,53.17,53.51,13,Madrid
14,10.70,47.70,52.30,24.30,28.00,46.90,53.10,21.90,31.20,40.40,59.60,46.90,12.70,49.40,16.80,39.50,31.45,48.35,47.69,46.16,35.07,47.79,49.76,30.08,51.26,51.63,14,Murcia
15,7.70,32.50,67.50,26.10,41.30,31.30,68.70,23.30,45.40,26.10,73.90,52.70,21.20,53.20,10.00,46.85,32.50,45.04,48.49,49.91,34.07,43.06,51.71,34.55,52.32,52.17,15,Navarra
16,9.50,29.20,70.80,25.10,45.70,28.30,71.70,22.20,49.60,17.50,82.50,57.80,24.70,50.70,10.00,52.76,35.72,42.71,51.24,51.40,31.33,42.28,54.43,31.45,49.54,49.31,16,País Vasco
17,6.80,41.80,58.20,25.60,32.60,40.80,59.20,23.50,35.70,33.30,66.70,50.40,16.30,49.40,15.60,50.99,34.54,41.99,46.01,49.67,34.65,46.97,46.67,32.52,49.72,49.45,17,Comunidad Valenciana
18,6.00,54.90,45.10,21.50,23.60,54.10,45.90,19.30,26.50,48.80,51.20,39.20,12.10,41.70,29.00,40.39,27.97,46.44,48.72,50.28,31.13,51.48,35.19,32.07,40.51,38.70,18,Ceuta
19,21.10,49.70,50.30,24.50,25.80,47.80,52.20,22.30,29.90,43.40,56.60,45.50,11.10,46.60,25.80,35.43,31.93,49.25,48.92,44.40,37.11,48.66,51.27,25.26,44.32,43.62,19,Melilla
