mean_x_a,mean_y_a,mean_z_a,std_x_a,std_y_a,std_z_a,max_x_a,max_y_a,max_z_a,min_x_a,min_y_a,min_z_a,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,max_x_g,max_y_g,max_z_g,min_x_g,min_y_g,min_z_g,model,accion
-1.2846699128,-0.1172150539,9.9404015943,2.1960947772,1.1962871416,2.821774831,4.876236,7.366638,19.883667,-13.939407,-6.591858,2.6733856,-0.0014125024,0.0039227888,-0.017703218,0.2996488264,0.2778559622,0.4420576125,1.9635468,1.7632141,2.126587,-1.9049835,-1.1473999,-3.3635254,nexus4,walk
-3.8477680787,0.0020601652,8.5355099326,3.4327192587,1.2604490385,1.9573909557,2.7087402,7.667755,24.39566,-17.667236,-8.546143,1.2977295,-0.0256169292,-0.0019111856,0.0323250408,0.3812220018,0.4364152061,0.4169219497,1.9784546,7.6496277,2.5354004,-2.5300598,-3.777069,-1.86203,nexus4,null
-1.3810801944,0.6259629984,9.2499707644,1.0586795586,1.9294143436,1.2945825428,4.261679,6.3206925,19.019539,-8.532935,-4.5681367,0.91937345,0.0122650188,-0.0012766422,-0.0058080001,0.9754600214,0.3621073811,0.3130277931,2.5421157,2.1380284,1.1038336,-2.5192082,-1.8332067,-1.4156802,s3,bike
-0.5210692121,-0.421890476,9.9552665237,0.2067546483,0.2401792757,0.2547244691,0.19030762,1.1093903,10.916809,-1.6316986,-1.8327484,8.92424,0.0001687075,0.0002954919,0.0005033135,0.0161763316,0.0308484408,0.0857250783,0.23406982,0.43881226,1.0823517,-0.20172119,-0.22128296,-0.4877777,nexus4,stand
3.8258219149,0.6099415762,8.7946391684,0.1449294236,0.0467854493,0.1607665305,4.9416323,0.9959879,10.228029,3.2465374,0.32561144,6.5026517,0.0044851298,-0.0033643284,0.0103455669,0.0106780229,0.0274772222,0.0127408926,0.11453723,0.2959642,0.18936823,-0.044898596,-0.8384125,-0.6133087,s3,sit
3.9562406848,0.1530269958,9.2503484704,0.151267382,0.2147270547,0.258356762,5.3604736,0.6940155,10.682343,3.201645,-0.3683777,7.056839,-0.0001801022,0.0001397765,0.0003438078,0.0039267082,0.0256716128,0.005259678,0.043258667,0.3068695,0.15180969,-0.041122437,-0.85417175,-0.06253052,nexus4,sit
-3.2768676775,-0.2430520678,8.8961414071,2.0374237563,1.2624442019,1.6308213458,4.1371803,6.081272,16.615759,-12.823344,-6.4547677,2.2505496,-0.0031404655,-0.0061127221,0.041639386,0.272500059,0.311947716,0.5652143558,1.3472633,1.5812247,2.2266037,-1.4230106,-2.7000244,-2.295937,s3,null
0.9265290842,-0.1999467297,9.2191977363,1.0353025426,1.8880184333,1.3904828441,5.3007627,5.3713913,18.728643,-4.1096473,-5.483919,2.3056161,-0.0141354213,-0.004770533,-0.0248232653,0.7875478875,0.4774040708,0.2823318146,2.69109,1.7808039,1.8652207,-3.230772,-2.4556503,-1.485833,s3mini,bike
-3.8127496426,1.275570656,8.6163632797,1.5347580627,1.2581814048,1.7019989825,0.46327803,8.465898,15.460558,-11.337742,-5.258864,4.3263226,0.0711177403,-0.0563459499,-0.2047421763,0.3727565246,0.3354627833,0.5961805421,2.8267424,2.2619307,3.2102778,-1.7473787,-1.766409,-2.4439392,s3mini,stairsdown
-3.8030706553,0.3054561303,8.5982719093,1.6141470323,1.3445798037,1.8143762628,1.3323733,4.8578353,15.288175,-11.178528,-6.4272346,1.2856863,0.113032174,-0.0346194677,-0.3722109258,0.3847658075,0.2370729224,0.615353289,1.7971505,1.8686364,2.083826,-1.9630563,-2.3392723,-4.154233,s3mini,stairsup
