,0
0,ABSESC_0
1,ACERESCU_0
2,ACOESCO_0
3,ACTIFIS_0
4,APLIEDUFIN_0
5,APOACTEDU_0
6,APRECAPEN_0
7,ASIREES_0
8,AUTPROFU_0
9,BAGACUL_0
10,CAMESCO_0
11,CAPAADAP_0
12,CAPADI_0
13,CAPAEMP_0
14,COMPENAL_0
15,COMPLECT_0
16,CONCIIM_0
17,COOALUM_0
18,EDUFAM_0
19,EDUFINACA_0
20,EDUFINACO_0
21,EDUTECCEN_0
22,EDUTECCO_0
23,EMOASICL_0
24,EMOASIDE_0
25,EMODIA_0
26,EMORECOL_0
27,EMOREFUCO_0
28,EXPCUL_0
29,EXPEPRO_0
30,FALDISC_0
31,HALEC_0
32,HANLEC_0
33,INAMBI_0
34,METOPARTI_0
35,NIVEFA_0
36,OBJECAL_0
37,PARDOCE_0
38,PARORPRO_0
39,PENDIGI_0
40,PENHOG_0
41,PERALU_0
42,PERPROCOL_0
43,PERVIDA_0
44,POSCASA_0
45,POSESTU_0
46,PROIMAGCA_0
47,PROIMAGED_0
48,PROIMAGES_0
49,RAFUR_0
50,RECIPRO_0
51,RELAPAR_0
52,TIESTU_0
53,USOTECCA_0
54,USOTECFU_0
