Codigo;Descripcion;DescripcionGrupo;CodigoGrupo;Cuestionario;CodigoGrupo2;;;
ST062Q01TA;En las dos últimas semanas enteras de colegio, ¿con que frecuencia: me he saltado todo el día?;Absentismo escolar;ABSESC;Estudiantes;G1;;;
ST062Q02TA;En las dos últimas semanas enteras de colegio, ¿con que frecuencia: me he saltado alguna clase?;Absentismo escolar;ABSESC;Estudiantes;G1;;;
ST062Q03TA;En las dos últimas semanas enteras de colegio, ¿con que frecuencia: he llegado tarde al colegio?;Absentismo escolar;ABSESC;Estudiantes;G1;;;
ST218Q01HA;Comunicación intercultural: observo cuidadosamente sus reacciones;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST218Q02HA;Comunicación intercultural: frecuentemente verifico que nos estamos entendiendo correctamente entre nosotros/as;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST218Q03HA;Comunicación intercultural: escucho cuidadosamente lo que están diciendo;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST218Q04HA;Comunicación intercultural: escojo mis palabras cuidadosamente;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST218Q05HA;Comunicación intercultural: doy ejemplos concretos para explicar mis ideas;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST218Q06HA;Comunicación intercultural: explico las cosas cuidadosamente;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST218Q07HA;Comunicación intercultural: si hay un problema de comunicación, encuentro caminos alrededor…;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST214Q01HA;¿Cómo de bien te describen la siguiente frase: quiero aprender cómo la gente vive en diferentes países?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST214Q02HA;¿Cómo de bien te describen la siguiente frase: quiero aprender más sobre las religiones del mundo?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST214Q03HA;¿Cómo de bien te describen la siguiente frase: estoy interesado en cómo la gente de varias culturas ven el mundo?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST214Q06HA;¿Cómo de bien te describen la siguiente frase: estoy interesado en aprender sobre las tradiciones de otras culturas?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST217Q01HA;¿Cómo de bien te describen la siguiente frase: respeto las personas de otras culturas como seres humanos iguales?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST217Q02HA;¿Cómo de bien te describen la siguiente frase: trato a todo el mundo con respecto independientemente de su bagaje cultural?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST217Q03HA;¿Cómo de bien te describen la siguiente frase: doy espacio a las personas de otras culturas para que se expresen por si mismas?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST217Q04HA;¿Cómo de bien te describen la siguiente frase: respeto los valores de las personas de diferentes culturas?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST217Q05HA;¿Cómo de bien te describen la siguiente frase: valoro las opiniones de las personas de diferentes culturas?;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST219Q01HA;De acuerdo: me siento como ciudadano del mundo;Aceptación y respeto a la diversidad cultural;ACERESCU;Estudiantes;G1;;;
ST038Q03NA;Durante los ultimos 12 meses, ¿con qué frecuencia: otros estudiantes me dejan fuera de las cosas aposta?;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST038Q04NA;Durante los ultimos 12 meses, ¿con qué frecuencia: otros estudiantes se rien de mi?;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST038Q05NA;Durante los ultimos 12 meses, ¿con qué frecuencia: otros estudiantes me amenazaron?;Acoso escolar;ACOESCO;Estudiantes;G1;;;
ST038Q06NA;Durante los ultimos 12 meses, ¿con qué frecuencia: otros estudiantes se llevaron o me destrozaron alguna de mis cosas?;Acoso escolar;ACOESCO;Estudiantes;G1;;;
