Codigo;Descripcion;DescripcionGrupo;CodigoGrupo;Cuestionario;CodigoGrupo2
TC199Q01HA;En tu enseñanza, ¿en qué medida puede hacer: lograr que los estudiantes crean que pueden mejorar en su trabajo escolar?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q02HA;En tu enseñanza, ¿en qué medida puede hacer: ayudar al alumnado es su aprendizaje?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q03HA;En tu enseñanza, ¿en qué medida puede hacer: elaborar buenas preguntas para mi alumnado?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q04HA;En tu enseñanza, ¿en qué medida puede hacer: contralar el comportamiento disruptivo en la clase?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q05HA;En tu enseñanza, ¿en qué medida puede hacer: motivar al alumnado que muestra bajo interés por el trabajo escolar?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q06HA;En tu enseñanza, ¿en qué medida puede hacer: aclarar mis expectativas sobre el comportamiento del alumnado?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q07HA;En tu enseñanza, ¿en qué medida puede hacer: ayudar al alumnado a pensar de manera crítica?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q08HA;En tu enseñanza, ¿en qué medida puede hacer: hacer que el alumnado siga las normas de clase?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q09HA;En tu enseñanza, ¿en qué medida puede hacer: calmar al estudiante que está distrayendo o haciendo ruido?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q10HA;En tu enseñanza, ¿en qué medida puede hacer: usar estrategias de evaluación variadas?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q11HA;En tu enseñanza, ¿en qué medida puede hacer: facilitar explicaciones alternativas por ejemplo cuando el elumnado está confundido?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC199Q12HA;En tu enseñanza, ¿en qué medida puede hacer: implementar estrategias de enseñanza alternativa en mi clase?;Autopercepción de la incidencia del docente en el rendimiento y comportamiento del alumnado;AUTOPER;Profesores;G1
TC208Q02HA;Opinión compartida con otros docentes: es importante para el alumando que aprenda que las personas de otras culturas pueden tener...;Cutura de centro educativo con respecto a la diversidad cultural;CULCENC;Profesores;G1
TC208Q03HA;Opinión compartida con otros docentes: respetar otras culturas es algo que el alumnado debe aprender lo antes posible;Cutura de centro educativo con respecto a la diversidad cultural;CULCENC;Profesores;G1
TC208Q07HA;Opinión compartida con otros docentes: in clase, es importante que el alumnado de diferentes orígenes reconozcan...;Cutura de centro educativo con respecto a la diversidad cultural;CULCENC;Profesores;G1
TC208Q08HA;Opinión compartida con otros docentes: cuando hay conflictos entre estudiantes de diferentes orígenes, deben...;Cutura de centro educativo con respecto a la diversidad cultural;CULCENC;Profesores;G1
TC170Q01HA;¿Con qué frecuencia en tus clases de lengua castellana: la mayoria del alumnado no escucha lo que digo;Dificultades en la práctica docente con el alumnado;DIFIDO;Profesores;G1
TC170Q02HA;¿Con qué frecuencia en tus clases de lengua castellana: hay ruido y desorden;Dificultades en la práctica docente con el alumnado;DIFIDO;Profesores;G1
TC170Q03HA;¿Con qué frecuencia en tus clases de lengua castellana: tengo que esperar mucho tiempo para que el alumnado se calme;Dificultades en la práctica docente con el alumnado;DIFIDO;Profesores;G1
TC170Q04HA;¿Con qué frecuencia en tus clases de lengua castellana: el alumando no trabaja bien;Dificultades en la práctica docente con el alumnado;DIFIDO;Profesores;G1
TC170Q05HA;¿Con qué frecuencia en tus clases de lengua castellana: el alumnado no empieza a trabajar hasta después de un largo tiempo desde que la clase ha comenzado?;Dificultades en la práctica docente con el alumnado;DIFIDO;Profesores;G1
TC209Q01HA;Enseñar en ambientes multiculturales: puedo hacer frente a los retos de las clases multiculturales;Estrategias de enseñanza en entornos multiculturales;ESENMULTI;Profesores;G1
TC209Q02HA;Enseñar en ambientes multiculturales: puedo adaptar mi enseñanza a la diversidad cultural del alumnado;Estrategias de enseñanza en entornos multiculturales;ESENMULTI;Profesores;G1
TC209Q05HA;Enseñar en ambientes multiculturales: me preocupo para que el alumnado con y sin bagaje migrante trabajen juntos;Estrategias de enseñanza en entornos multiculturales;ESENMULTI;Profesores;G1
TC209Q06HA;Enseñar en ambientes multiculturales: puedo concienciar al alumando sobre las diferencias culturales;Estrategias de enseñanza en entornos multiculturales;ESENMULTI;Profesores;G1
TC209Q09HA;Enseñar en ambientes multiculturales: puedo contribuir a reducir los esteroetipos étnicos entre el alumnado;Estrategias de enseñanza en entornos multiculturales;ESENMULTI;Profesores;G1
TC014Q01HA;¿Has completado tu educación como docente o tus prácticas?;Experiencia Docente;EXPDOC;Profesores;G1
